Subject,Date,Order,start1,end1,start2,end2,start3,end3,start4,end4,A,B,C,D,E,F,G,H,a1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,
1118,6/24/16,fgad,11:22,11:30,11:31,11:46,11:46,11:56,11:57,12:07,"a: 0 0zy 1
b: 1 0zx 1
c",,,"a: 2 2 0 0
c: 2 0 2 1
c: 3 3 2 2
e",,"a: -1 -2 0 Garbage/0.0
a: -1 -1 0 Garbage/0.0
a: -1 0 0 Garbage/0.0
b: c
d","a: 1 0
b: 32
c: 1 1
d",,,,,,,,,,,,,
1155,6/22/16,bedg,12:03,12:03,12:12,12:16,12:16,12:21,12:21,12:24,,"a: 0 z 1
b: 1 (character before the location of string ""zy"") 1
a: 0 y 1
b: 1 z 1",,"a: 2 2 0 0
c: 2 0 2 1
d: 2
e","a: -1 -2 0 0
b: I give up",,"a: 1 0
I give up!",,,,,,,,,,,,,
1236,6/13/16,cfah,10:35,10:48,10:48,11:04,11:05,11:09,11:10,11:24,"a: 0 bczy 1
b: 0 abyz 1
c",,"a: 2 2 0 0
a: 3 3 0 2
c",,,"a: -1 -2 0 0.0
a: -1 -1 0 0.0
b: #0865ab7
b: c
d",,"a: 1 0
b: 1 1
a: 0 0
a: 1 0
b: 1 1
infinite loop",21,F,Bachelor,Undergraduate,Computer Science,1,1,"C++, Python",,C++,2,"I google a lot when I program, but after using it I forget what I used. So close-book test like this can be really hard."
1243,7/7/16,chaf,3:09 PM,3:24 PM,3:25 PM,3:39,3:40 PM,3:43 PM,3:44 PM,3:47 PM,c,,"a: 2 2 0 0
a: 3 3 2 0
c",,,"a: -1 -2 0 0.0
b: c
d",,"a: 1 0
a: 1 1
a: 0 0
a: 1 0
a: 1 1
a: 0 0
a: 1 0
a: 1 1
a: 0 0
a: 1 0",,,,,,,,,,,,
2024,6/11/16,acfh,17:02,17:05,17:05,17:15,17:16,17:19,17:20,17:34,"a: 0 bzy 1
b: 1 abzy 1
c",,"a: 2 2 0 0
a: 3 3 0 1
c",,,"a: -1 -2 0 0
b: c
d",,"a: 1 0
b: 1 1
a: 0 0
2: 0
4: 0
d
",27,M,PhD,grad student,CS,11,2,"c++, c#, java, javascript, typescript, python, haxe, actionscript","java, python, typescript",c#,4,
2250,7/6/16,bfcg,1:36,1:38,1:39,1:52,1:52,2:11,2:12,2:29,,c,"a: 2 2 0 0
a: 3 3 0 1
c",,,"a: -1 -2 0 0.0
a: -1 -1 0 0.0
a: -1 0 0 0.0
b: c
c: -2 0 0 1.0 1
b: b
c: -2 -1 0 0.0 0
b: a
d","a: 1 0
c: 1 1
a: 0 0
b: 1 0
b: 0
d",,,,,,,,,,,,,
2360,6/13/16,cgbf,17:08,17:36,17:37,17:47,17:48,17:58,18:00,18:09,,"a: 0 zy 1
b: 1 zy 1
a: 0 zz 1
b: 1 zz 1
c","a: 1 2 0 0
b: 1
a: 2 3 0 1
b: 2
c",,,"a: -1 -2 0 0.0
a: -2 -1 -2 0.0
I give up!","a: 1 0
a: 0 0
b: 16
c: 1 1
d",,,,,,,,,,,,,
2413,6/24/16,bhec,12:42,1:49,12:49,1:43,1:02,1:49,1:09,1:26,,,"a: 2 2 0 0
a: 3 3 0 1
c",,"a: -1 -2 0 0.000000000000
a:
I give up!",,,"a: 1 0
b: 1 1
a: 0 0
a: 1 0
b: 1 1
I give up!",,,,,,,,,,,,
2982,6/27/16,bgcf,12:31,12:40,12:40,12:53,12:55,13:01,13:02,13:03,,"a: 0, ""azy"", 1
b: 1, ""azy"", 1
a: 0, ""bzy"", 1
b: 1, ""bzy"", 1
c","a: 2, 2, 0, 0
a: 2, 0, 2, 2
b: 2
c",,,"a: -1, -2, 0, 0
b: c
d","a: 1, 0
a: 0, 0
c: 1, 0
d",,,,,,,,,,,,,
3339,6/20/16,ahde,3:00,3:07,3:08,3:28,3:28,3:31,3:31,3:34,"a: 0 ? 1
b: 1 ? 1
c",, ,"a: 2 2 0 0
c: 2 0 2 1
d: 2
e",error: undefined variable V4,,,"a: 1 0
b: 1 1
a: 0 0
a: 1 0
b: 1 1
a: 0 0
a: 1 0
b: 1 1
a: 0 0
a: 1 0",,,,,,,,,,,,
3483,6/28/16,fcgb,14:35,14:38,14:39,14:46,14:46,15:10,15:10,15:17,,"a: 0.0 0zy 1.0
b: 1.0 0zy 1.0
a: 0.0 1zy 1.0
b: 1.0 1zy 1.0
c","a: 2 2 0 0
c",,,"-1, -2, 0, 0.0
b: c
d","a: 1.0 0.0
b: 32.0
c: 0.0 1.0
d",,,,,,,,,,,,,
3487,6/30/16,adhe,11:12,11:26,11:26,11:54,11:55,12:06,12:06,12:10,"a: 0 {??} 1
b: 0 {??} 1
c
... and so on",,,"a: 2 2 0 0
c: 1 0 4 1
d: 2
a: 3 3 0 2
e","a: -1 -2 0 {{whatever value is stored where V4 is initialized}}
b: c
d",,,"a: 1 0 
b: 1 1
a: 0 0
4: 32 0
d",,,,,,,,,,,,
3878,7/7/16,hacf,8:50,9:26,9:30,10:15,10:15,10:45,10:45,11:10,"a: 0 zy 1
b: 1 zy 1
a: 0 y 1
b: 1 y 1
c",,"a: 2 2 0 0
a: 2 0 1 1
b: 2
a: 3 3 0 2
a: 3 0 1 1
b: 3
a: 3 0 1 2
b: 3
c
",,,"a: -1 -2 0 0.0
a: -1 -1 0 0.0
a: -1 0 0 0.0
b: c
c: -2 0 0 1 1
b: b
b: a
d",,"a: 1 0
b: 1 1
a: 0 0
2: 64
4: 32
d",,,,,,,,,,,,
3889,6/13/16,hade,12:02,12:14,12:15,12:21,12:21,12:34,12:34,12:41,"a: 0 abzy 1
b: 0 zy 1
c
a: 0 0 1
b: 0 0 1
c",,,"a: 2 2 0 0 
c: 2 0 2 1
a: 3 3 0 1
c: 3 0 3 1","a: -2 -2 0 12345012345
b: 0
c: -3 -2 0 12345012345 ab",,,"a: 1 0
b: 1 1
4: 32 << 0",24,M,MSc,Graduate student,Electrical Engineering,1-1.5,1,"C/C++, Python",Currently I'm not into developing software and not even into programming.,Python,3,The questions were actually checking the base knowledge like the flow control and the math expressions and boolean. A person currently into C would find no problem solving these problems.
4073,6/21/16,gfad,10:21 AM,10:36,10:37,10:49,10:50,10:57,10:57,11:06,"c
I give up!",,,"a: 2 2 0 0
c: 2 0 2 1
d: 2
a: 3 3 0 2
c: 3 0 3 0
e",,"a: -1 -2 0 x-> some number
a: -1 -1 0 x
a: -1 0 0 x
c: -2 0 0 0 0
b: a
c: -2 -1 0 0 0
b: a
d","a: 1 0
c: 1 0
a: 0 0",,,,,,,,,,,,,
4246,6/16/16,gdaf,14:34,15:05,15:05,15:13,15:14,15:23,15:39,15:39,"a: 0 zy 1
b: 1 zy 1
a: 0 y 1
b: 1 y 1
c",,,"a: 2 2 0 0
c: 2 0 2 1
d: 2
a: 3 3 0 2
b: 3
e",,"a: -1 -2 0 0.000000
a: -1 -1 0 0.000000
a: -1 0 0 0.000000
b: c
c: -2 0 0 1.000000 1
b: b
c: -2 -1 0 0.000000 0
b: a
d","a: 1 0
c: 1 1
a: 0 0
b: 64
d",,,,,,,,,,,,,
