"","ID","Pair","Atom","Type","Code","Answer"
"1",1,2,"Implicit Predicate","Confusing","void main(){
   int V1 = 10, V2 = 3;
   if (! (V1 % V2)){
      printf(""%s\n"", ""true"");
   }
   else{
      printf(""%s\n"", ""false"");
   }
}","false"
"2",2,1,"Implicit Predicate","Non-confusing","void main(){
   int V1 = 1, V2 = 2;
   if ( (V2 - V1) == 0){
      printf(""%s\n"", ""true"");
   }
   else{
      printf(""%s\n"", ""false"");
   }
}","false"
"3",3,4,"Implicit Predicate","Confusing","void main() { 
   int V1 = 7; 
   if (V1 = 8) 
      printf(""true\n""); 
   else
      printf(""false\n""); 
}","true"
"4",4,3,"Implicit Predicate","Non-confusing","void main()
{
   int V1 = 7;
   if ((V1 = 8) != 0)
      printf(""true"");
   else
      printf(""false"");
}","true"
"5",5,6,"Implicit Predicate","Confusing","void main() {
   if (""V1"")
      printf(""true"");
   else
      printf(""false"");
}","true"
"6",6,5,"Implicit Predicate","Non-confusing","void main() {
   if (""V1"" != '\0')
      printf(""true\n"");
   else
      printf(""false\n"");
}","true"
"7",7,8,"Infix Operator Precedence","Confusing","void main() { 
   int V1;
   V1 = 2 - 4 / 2;
   printf(""%d\n"", V1);
}","0"
"8",8,7,"Infix Operator Precedence","Non-confusing","void main() { 
   int V1;
   V1 = 3 + (9 / 3);
   printf(""%d\n"", V1);
}","6"
"9",9,10,"Infix Operator Precedence","Confusing","void main() {
   if (! 0 && 2) {
      printf(""true"");
   } else {
      printf(""false"");
   }
}","true"
"10",10,9,"Infix Operator Precedence","Non-confusing","void main() {
   if ( 1 && (! 0) ) {
      printf(""true"");
   } else {
      printf(""false"");
   }
}","true"
"11",11,12,"Infix Operator Precedence","Confusing","void main() {
   if (0 && 1 || 2) {
      printf(""true"");
   } else {
      printf(""false"");
   }
}","true"
"12",12,11,"Infix Operator Precedence","Non-confusing","void main() {
   if ((2 && 0) || 5) {
      printf(""true"");
   } else {
      printf(""false"");
   }
}","true"
"13",13,14,"Post-Increment/Decrement","Confusing","void main() { 
   int V1 = 2;
   int V2 = 3 + V1++;
   printf(""%d %d\n"", V1, V2);
}","3 5"
"14",14,13,"Post-Increment/Decrement","Non-confusing","void main() { 
   int V1 =  2, V2;
   V2 = V1 + 3;
   V1++;
   printf(""%d %d\n"", V1, V2);
}","3 5"
"15",15,16,"Post-Increment/Decrement","Confusing","void main() { 
   int V1 = 0;
   if (V1++ == 0) {
      printf(""true "");
   }
   else {
      printf(""false "");
   }
   printf(""%d"", V1);
}","true 1"
"16",16,15,"Post-Increment/Decrement","Non-confusing","void main() { 
   int V1 = 0;
   if (V1 == 0) {
      printf(""true "");
   }
   else {
      printf(""false "");
   }
   V1++;
   printf(""%d"", V1);
}","true 1"
"17",17,18,"Post-Increment/Decrement","Confusing","void main() { 
   int V1 = 2;
   if (V1-- == 1) {
      printf(""true "");
   }
   else {
      printf(""false "");
   }
   printf(""%d"", V1);
}","false 1"
"18",18,17,"Post-Increment/Decrement","Non-confusing","void main() { 
   int V1 = 2;
   if (V1 == 1) {
      printf(""true "");
   }
   else {
      printf(""false "");
   }
   V1--;
   printf(""%d"", V1);
}","false 1"
"19",19,20,"Pre-Increment/Decrement","Confusing","void main() { 
   int V1 = 2;
   int V2 = ++V1 - 2;
   printf(""%d %d\n"", V1, V2);
}","3 1"
"20",20,19,"Pre-Increment/Decrement","Non-confusing","void main() { 
   int V1 = 5, V2;
   ++V1;
   V2 = 5 - V1;
   printf(""%d %d\n"", V1, V2);
}","6 -1"
"21",21,22,"Pre-Increment/Decrement","Confusing","void main() { 
   int V1 = 2;
   if (--V1 == 1) {
      printf(""true "");
   }
   else {
      printf(""false "");
   }
   printf(""%d"", V1);
}","true 1"
"22",22,21,"Pre-Increment/Decrement","Non-confusing","void main() { 
   int V1 = 2;
   V1--;
   if (V1 == 1) {
      printf(""true "");
   }
   else {
      printf(""false "");
   }
   printf(""%d"", V1);
}","true 1"
"23",23,24,"Pre-Increment/Decrement","Confusing","void main() { 
   int V1 = 2;
   int V2 = --V1 + 3;
   printf(""%d %d\n"", V1, V2);
}","1 4"
"24",24,23,"Pre-Increment/Decrement","Non-confusing","void main() { 
   int V1 = 6, V2;
   V2 = 9 - V1;
   --V1;
   printf(""%d %d\n"", V1, V2);
}","5 3"
"25",25,26,"Constant Variables","Confusing","void main() {
   int V1 = 3;
   int V2 = V1 + 2;
   printf(""%d\n"", V2);
}","5"
"26",26,25,"Constant Variables","Non-confusing","void main() {
   int V1 =  2 + 3;
   printf(""%d\n"", V1);
}","5"
"27",27,28,"Constant Variables","Confusing","void main() {
   int V1 = 2;
   int V2 = 2 * V1;
   printf(""%d\n"", V2);
}","4"
