UserID,CodeID,Duration,TimeTotal,Correct,Answer,TimeStamp,rank
1,53,25802,25802,F,3,"2016-03-29 18:14:22",0
3,106,15536,15536,T,23,"2016-03-29 18:14:30",0
1,67,16616,16616,F,abcdef,"2016-03-29 18:14:38",1
1,73,14397,14397,F,false,"2016-03-29 18:14:53",2
3,92,37395,37395,F,zxcvb,"2016-03-29 18:15:07",1
1,2,21696,21696,T,false,"2016-03-29 18:15:15",3
1,110,23286,23286,F,2,"2016-03-29 18:15:39",4
3,35,39895,39895,F,"1 2","2016-03-29 18:15:48",2
4,43,86360,86360,F,"%s abcdef","2016-03-29 18:15:57",0
1,12,24267,24267,F,false,"2016-03-29 18:16:03",5
2,85,123657,123657,F,"0 2","2016-03-29 18:16:06",0
4,61,33673,33673,F,"1,2 1,2","2016-03-29 18:16:32",1
1,83,30191,30191,F,"4 5 1","2016-03-29 18:16:34",6
2,82,35735,35735,T,"2 7","2016-03-29 18:16:42",1
4,104,25638,25638,T,"%c g","2016-03-29 18:16:58",2
2,9,24913,24913,F,false,"2016-03-29 18:17:08",2
1,118,61769,61769,T,4,"2016-03-29 18:17:37",7
2,69,31171,31171,F,"4 1","2016-03-29 18:17:40",3
4,109,49768,49768,T,"%d 3","2016-03-29 18:17:48",3
2,27,11760,11760,T,4,"2016-03-29 18:17:52",4
1,56,24239,24239,T,true,"2016-03-29 18:18:01",8
2,105,10410,10410,F,13,"2016-03-29 18:18:03",5
3,83,117693,140088,T,"5 5 2","2016-03-29 18:18:08",3
4,35,30739,30739,F,"1 2","2016-03-29 18:18:19",4
1,19,24172,24172,F,"2 1","2016-03-29 18:18:26",9
1,93,42406,42406,F,3zxcvb,"2016-03-29 18:19:09",10
4,49,54900,54900,F,0,"2016-03-29 18:19:14",5
1,26,8177,8177,T,5,"2016-03-29 18:19:17",11
2,121,79724,79724,T,4,"2016-03-29 18:19:23",6
3,12,66564,82358,F,false,"2016-03-29 18:19:31",4
2,62,8497,8497,T,"2 1","2016-03-29 18:19:32",7
4,97,18506,18506,T,2,"2016-03-29 18:19:33",6
1,103,16321,16321,F,104,"2016-03-29 18:19:34",12
4,37,16190,16190,F,126,"2016-03-29 18:19:49",7
4,2,16445,16445,T,false,"2016-03-29 18:20:06",8
2,34,45448,45448,T,6,"2016-03-29 18:20:17",8
3,18,56576,56576,T,"false 1","2016-03-29 18:20:28",5
2,111,40041,40041,F,"3 7","2016-03-29 18:20:58",9
1,89,84612,84612,F,6,"2016-03-29 18:20:59",13
3,23,32984,32984,F,"2 4","2016-03-29 18:21:01",6
4,68,62106,62106,F,"abcdef abcdef","2016-03-29 18:21:09",9
1,122,14217,14217,T,4,"2016-03-29 18:21:13",14
6,34,44726,44726,F,10,"2016-03-29 18:21:18",0
2,38,20482,20482,F,125,"2016-03-29 18:21:19",10
1,44,8260,8260,F,2,"2016-03-29 18:21:22",15
6,3,16067,16067,F,false,"2016-03-29 18:21:35",1
2,15,16926,16926,F,false,"2016-03-29 18:21:36",11
2,21,5489,5489,F,true,"2016-03-29 18:21:42",12
1,1,20900,20900,F,true,"2016-03-29 18:21:43",16
4,94,38333,38333,F,s,"2016-03-29 18:21:47",10
6,115,16203,16203,F,2,"2016-03-29 18:21:51",2
2,97,11824,11824,T,2,"2016-03-29 18:21:54",13
1,42,17351,17351,T,21,"2016-03-29 18:22:01",17
4,60,18210,18210,T,true,"2016-03-29 18:22:06",11
3,58,66146,66491,T,false,"2016-03-29 18:22:08",7
1,112,15674,15674,F,"8 2","2016-03-29 18:22:17",18
4,79,35345,35345,F,"1 5","2016-03-29 18:22:42",12
2,75,50179,50179,T,false,"2016-03-29 18:22:45",14
6,92,23218,23218,F,zxcvb,"2016-03-29 18:22:49",4
3,41,48057,48057,T,21,"2016-03-29 18:22:56",8
2,49,20577,20577,F,4,"2016-03-29 18:23:05",15
1,78,49948,49948,T,"4 7","2016-03-29 18:23:07",19
6,15,24380,24380,F,false,"2016-03-29 18:23:14",5
1,100,9363,9363,T,1,"2016-03-29 18:23:17",20
1,7,6506,6506,T,0,"2016-03-29 18:23:24",21
2,94,21401,21401,F,2,"2016-03-29 18:23:27",16
4,48,52059,52059,T,4,"2016-03-29 18:23:34",13
4,74,10756,10756,T,true,"2016-03-29 18:23:45",14
2,2,19105,19105,T,false,"2016-03-29 18:23:47",17
