subject,start_offset,end_offset,code,text
4168,1013,1037,Comprehension Technique,I like to work backwards
4168,1098,1145,Correct Semantics,we're printing two integers out based on the %d
4168,1309,1361,Correct Semantics,"V1 initially is 2, but then V2 gets set to 3 plus V1"
4168,1375,1391,Math is easy or hard,If I can do math
4168,1995,2065,Previously Seen, I guess maybe it's just having seen something exactly like that befor
4168,2262,2381,Double Check,"you get the same result going backward and forward, then I am pretty, then you can be pretty confident that the answers"
4168,3265,3323,Correct Semantics,"And then after that V1 gets incremented, so that becomes 4"
4168,3741,3793,Double Check,working backward and forward getting the same answer
4168,4119,4127,Amusement,Laughter
4168,4396,4585,Correct Semantics,"The way the preprocessor works kinda makes this weird because it really turns out to be 3 minus 1 times 2. And by the order of operations that's going to make 3 minus 2, which is actually 1"
4168,4592,4643,Non-standard terminology,C is weird that way where when you define constants
4168,4592,4752,Language Value Judgement,"C is weird that way where when you define constants, you have to put the values in parentheses or they're just going to kind of get string substituted into code"
4168,4813,4838,Double Check,let me just check my work
4168,4866,4927,Counterfactual Semantics,"It is not 2 times 2, which would be 4 and it is not 4 it is 1"
4168,5106,5244,Mental Model,"macros evaluate this way, uh, just being kind of substituted in it and the order of operations taking over into bleeding into other areas."
4168,5106,5302,Unsure,"macros evaluate this way, uh, just being kind of substituted in it and the order of operations taking over into bleeding into other areas. I'm, there's, I'm not 100 percent sure that it does that."
4168,5499,5731,Counterfactual Semantics,"Yeah, if I were wrong, I kind of said it out loud, but if the macro did get evaluated first then M1 would be 2 and then V1 would be 2 times 2 and that would and then the program would output 4. But that's what it'd be if I was wrong"
4168,6004,6044,Correct Semantics, the macro does not get evaluated first.
4168,6004,6044,Mental Model, the macro does not get evaluated first.
4168,5907,6044,Remember,"Um, yeah, no as, because I'm not 100 percent on how and if I remember correctly, but I think that the macro does not get evaluated first."
4168,6490,6530,Uncommon pattern, this is a not very commonly used syntax
4168,6491,6530,Snippet Value Judgement,this is a not very commonly used syntax
4168,6563,6707,Correct Semantics,"this parentheses with a comma in the middle syntax varies by programming language, but if I remember correctly, we're just taking the last value"
4168,6544,6707,Remember,"But yeah, I, I th, this parentheses with a comma in the middle syntax varies by programming language, but if I remember correctly, we're just taking the last value"
4168,6709,6755,Inferring Semantics from Reasoning,"I mean it wouldn't make sense otherwise, right"
4168,6857,6955,Correct Semantics,I'm like 80 percent sure this time that we're taking the last value out of this set of parentheses
4168,6857,6955,Unsure,I'm like 80 percent sure this time that we're taking the last value out of this set of parentheses
4168,6975,7038,Not Previously Written,I don't think I've personally written code that looks like that
