atom,id,url,file_line,code
Assignment As Value,0,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/sys/dev/amdsmb/amdsmb.c#L393,amdsmb.c#L393,(error = amdsmb_wait(sc)) == SMB_ENOERR
Assignment As Value,1,https://github.com/gcc-mirror/gcc/blob/2201c33012d4c6dc522ddbfa97f5aa95a209e24d/libgomp/testsuite/libgomp.oacc-c-c++-common/parallel-dims.c#L531,parallel-dims.c#L531,gangs_min = workers_min = vectors_min = INT_MAX
Assignment As Value,2,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/usr.bin/paste/paste.c#L139,paste.c#L139,head = tmp = NULL
Assignment As Value,3,https://github.com/mongodb/mongo/blob/67f735e6705091659e2a8cf46a9285f09bcf749a/src/third_party/wiredtiger/src/reconcile/rec_write.c#L2736,rec_write.c#L2736,entry = max_image_slot = slots = 0
Assignment As Value,4,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/sbin/clri/clri.c#L115,clri.c#L115,(inonum = atoi(*argv)) <= 0
Assignment As Value,5,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/usr.sbin/jail/jail.c#L152,jail.c#L152,"(ch = getopt(argc, argv, ""cdf:hiJ:lmn:p:qrRs:u:U:v"")) != -1"
Assignment As Value,6,https://github.com/mozilla/gecko-dev/blob/dd47bee6468de7e1221b4d006342ad6b9813d0e5/media/mtransport/third_party/nICEr/src/ice/ice_component.c#L476,ice_component.c#L476,"if ((r = nr_ice_component_create_tcp_host_candidate(ctx, component, &addrs[i].addr, TCP_TYPE_PASSIVE, backlog, 0, lufrag, pwd, &isock_psv))){
    r_log(LOG_ICE, LOG_WARNING, ""ICE(%s): failed to create passive TCP host candidate: %d"", ctx->label, r);
}"
Assignment As Value,7,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/sys/dev/iicbus/twsi/mv_twsi.c#L164,mv_twsi.c#L164,m0 = n0 = 4
Assignment As Value,8,https://github.com/mongodb/mongo/blob/67f735e6705091659e2a8cf46a9285f09bcf749a/src/third_party/wiredtiger/src/lsm/lsm_worker.c#L147,lsm_worker.c#L147,"(ret = __wt_lsm_manager_pop_entry(session, WT_LSM_WORK_MERGE, &entry)) == 0"
Assignment As Value,9,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/contrib/byacc/test/btyacc/inherit1.tab.c#L443,inherit1.tab.c#L443,(newsize *= 2) > YYMAXDEPTH
Assignment As Value,10,https://github.com/mozilla/gecko-dev/blob/dd47bee6468de7e1221b4d006342ad6b9813d0e5/media/libvpx/libvpx/vp8/common/mfqe.c#L161,mfqe.c#L161,"while (actd >>= 1)
    thr++;"
Assignment As Value,11,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/contrib/netbsd-tests/fs/vfs/t_vfsops.c#L133,t_vfsops.c#L133,"RL(fd = rump_sys_open(FNAME, O_RDWR | O_CREAT, 0777))"
Assignment As Value,12,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/usr.bin/mail/main.c#L330,main.c#L330,ws.ws_col = ws.ws_row = 0
Assignment As Value,13,https://github.com/mysql/mysql-server/blob/0138556a55168da12eaf0bc3038947148d6b0863/extra/yassl/taocrypt/src/ripemd.cpp#L162,ripemd.cpp#L162,b1 = b2 = digest_[1]
Assignment As Value,14,https://github.com/torvalds/linux/blob/f34157878d3b17641ad2366988600c23c89d98b2/fs/xfs/xfs_bmap_util.c#L1078,xfs_bmap_util.c#L1078,"if ((temp = do_mod(startoffset_fsb, extsz)))
    e += temp;"
Assignment As Value,15,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/sys/cam/ctl/ctl_tpc.c#L960,ctl_tpc.c#L960,(tior = TAILQ_FIRST(&run)) != NULL
Assignment As Value,16,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/cddl/contrib/opensolaris/lib/libdtrace/common/dt_module.c#L838,dt_module.c#L838,(dmp->dm_asmap = malloc(sizeof (void*) * dmp->dm_asrsv)) == NULL
Assignment As Value,17,https://github.com/freebsd/freebsd/blob/c2b6ea8fa56ce6aba773d820fbf64a4d3efac9f5/sys/cddl/contrib/opensolaris/common/avl/avl.c#L832,avl.c#L832,"(neighbor = AVL_NEXT(t, obj)) == NULL"
